feature,importance
power60,0.7550063936914337
power30,0.03152927737291272
ele,0.03137076583620376
cad60,0.022477280329861533
cad_lag_30,0.022203575711060124
cad30,0.01543142191563403
cad_lag_15,0.014794750390595923
power10,0.009817330404094013
power_lag_30,0.009784015726309601
cad10,0.009426260502937062
cad_lag_10,0.008544161993650693
power5,0.008477070568534178
power_lag_15,0.008427428872031052
cad5,0.00776818900539811
power,0.007229105114693195
cad_lag_5,0.0072024838445192895
power_lag_10,0.007083849462056281
cad,0.00655148801990351
power_lag_5,0.006309081694279125
power_lag_1,0.005924991216263701
cad_lag_1,0.004641078327628265
